dataset,method,param,nfr_mean,nfr_std,acc_mean,acc_std
churn,projected_gd,0.0,0.0017791760979230403,0.002847457314645503,0.8717777777777777,0.028622705309932876
churn,projected_gd,0.005,0.004111557873634071,0.0039354055291052565,0.8798888888888889,0.03081183212060356
churn,projected_gd,0.01,0.00612753982035422,0.005682712039754296,0.8903333333333332,0.030361561504797515
churn,projected_gd,0.015,0.008295216115851385,0.006472790537002833,0.8998888888888888,0.037568227827680184
churn,projected_gd,0.02,0.011126850853872074,0.007273798177587623,0.9073333333333332,0.039382058123688946
churn,projected_gd,0.025,0.012286150870731002,0.007443106377890308,0.9098888888888889,0.03950464889035996
churn,projected_gd,0.03,0.014246982478807898,0.009439215955939948,0.9098888888888889,0.03977801917300367
churn,bcwi,0.0,0.003692847272710003,0.005609668617137562,0.8676666666666666,0.019474932007079872
churn,bcwi,0.005,0.005313112073198381,0.006941405880081009,0.8814444444444444,0.028458570952017277
churn,bcwi,0.01,0.006386752368231495,0.007214860271855906,0.887888888888889,0.02915570046636678
churn,bcwi,0.015,0.010562389188397121,0.008674885750428959,0.9025555555555556,0.036454869030000836
churn,bcwi,0.02,0.01309199992401613,0.010409870377505173,0.9032222222222224,0.03701647577414682
churn,bcwi,0.025,0.014890063547805893,0.014679739652451144,0.9030000000000001,0.03791568872252166
churn,bcwi,0.03,0.014890063547805893,0.014679739652451144,0.9030000000000001,0.03791568872252166
credit-approval,baseline,,0.10599730025116849,0.10140596959443667,0.8,0.06682647512608887
credit-approval,confidence_drop,0.0,0.10594808041229217,0.11015910516367676,0.8024000000000001,0.05975356800132431
credit-approval,confidence_drop,0.5,0.0985838229702205,0.09946600632124326,0.8096,0.05396953873354034
credit-approval,confidence_drop,1.0,0.09853657793140576,0.09590375862924416,0.8103999999999999,0.05032163219398458
credit-approval,confidence_drop,2.0,0.0997367609749202,0.096407628415265,0.8048,0.05335999333666457
credit-approval,confidence_drop,4.0,0.11422306486853824,0.11403674925337064,0.7912,0.06719259218429101
credit-approval,confidence_drop,8.0,0.12478832118377867,0.12477670347627426,0.776,0.07105553383719587
credit-approval,fixed_anchor,0.0,0.11159681364536027,0.1312842094743089,0.7952,0.0733406057000107
credit-approval,fixed_anchor,0.5,0.07615132645770939,0.08325280339533739,0.8055999999999999,0.0570753887415583
credit-approval,fixed_anchor,1.0,0.07733309208365148,0.07840250924419379,0.8032,0.060715731075232864
