dataset,split,method,model_type,lambda,target_nfr,achieved_nfr,accuracy,pfr
adult,6,bcwi,logreg,,0.02,0.014162934269458903,0.8508547446002661,0.11140583554376658
adult,6,projected_gd,logreg,,0.025,0.01634184723399104,0.8495240045040434,0.11472148541114058
adult,6,bcwi,logreg,,0.025,0.014162934269458903,0.8508547446002661,0.11140583554376658
adult,6,projected_gd,logreg,,0.03,0.01634184723399104,0.8495240045040434,0.11472148541114058
adult,6,bcwi,logreg,,0.03,0.014162934269458903,0.8508547446002661,0.11140583554376658
adult,7,baseline,logreg,,,0.014347721244272969,0.8501381922407616,0.08813559322033898
adult,7,confidence_drop,logreg,0.0,,0.014588859416445624,0.8498310983724024,0.08745762711864406
adult,7,fixed_anchor,logreg,0.0,,0.012900892211237039,0.8522878493192753,0.09423728813559322
adult,7,selective_distill,logreg,0.0,,0.013744875813841331,0.8510594738458389,0.09084745762711864
adult,7,confidence_drop,logreg,0.5,,0.010248372317337835,0.8510594738458389,0.0711864406779661
adult,7,fixed_anchor,logreg,0.5,,0.006269592476489028,0.8526973078104207,0.059661016949152545
adult,7,selective_distill,logreg,0.5,,0.011574632264287437,0.8520831200737026,0.08542372881355932
adult,7,confidence_drop,logreg,1.0,,0.010730648661683145,0.8501381922407616,0.06779661016949153
adult,7,fixed_anchor,logreg,1.0,,0.004702194357366771,0.8526973078104207,0.05084745762711865
adult,7,selective_distill,logreg,1.0,,0.010248372317337835,0.852492578564848,0.08067796610169492
adult,7,confidence_drop,logreg,2.0,,0.012900892211237039,0.8468625243115979,0.05830508474576271
adult,7,fixed_anchor,logreg,2.0,,0.0043404870991077885,0.8515712969597707,0.04135593220338983
adult,7,selective_distill,logreg,2.0,,0.008078128767783941,0.8521854846964889,0.06644067796610169
adult,7,confidence_drop,logreg,4.0,,0.013865444899927658,0.8443034087419388,0.04677966101694915
adult,7,fixed_anchor,logreg,4.0,,0.0034965034965034965,0.8507523799774798,0.031186440677966103
adult,7,selective_distill,logreg,4.0,,0.006028454304316373,0.8515712969597707,0.05084745762711865
adult,7,confidence_drop,logreg,8.0,,0.01567398119122257,0.8423584809089979,0.04406779661016949
